domain,num_steps,same_first_token_rate,p_accept_ge2_native,p_accept_ge2_tss,first_flip_recovery_rate,same_branch_extension,branch_switch_gain,delta_mean_accept
Translation,1970,1.0,0.7817258883248731,0.783248730964467,0.12030553787396563,42,159,-0.027411167512690238
Summarization,1571,1.0,0.928071292170592,0.9204328453214513,0.1266891891891892,23,141,-0.04392106938255935
QA,1104,1.0,0.8125,0.8106884057971014,0.18795180722891566,35,142,-0.047101449275362306
MMLU,604,1.0,0.8460264900662252,0.8261589403973509,0.17903930131004367,26,77,0.13410596026490085
